team,score,event,ranking,eventname,region
FaZe Clan,301,1,1,fall_reg1,na
NRG,250,1,2,fall_reg1,na
Spacestation Gaming,200,1,3,fall_reg1,na
Version1,200,1,4,fall_reg1,na
Complexity Gaming,150,1,5,fall_reg1,na
G2 Esports,150,1,6,fall_reg1,na
OpTic Gaming,150,1,7,fall_reg1,na
XSET,150,1,8,fall_reg1,na
Ghost Gaming,110,1,9,fall_reg1,na
Soniqs,110,1,10,fall_reg1,na
Torrent,110,1,11,fall_reg1,na
Rogue,70,1,12,fall_reg1,na
Shopify Rebellion,70,1,13,fall_reg1,na
Stromboli,70,1,14,fall_reg1,na
Gentlemen,40,1,15,fall_reg1,na
Limitless,40,1,16,fall_reg1,na
Akrew,0,1,17,fall_reg1,na
AllMid,0,1,18,fall_reg1,na
AXLE0R8,0,1,19,fall_reg1,na
Ducks on Quack,0,1,20,fall_reg1,na
eUnited,0,1,21,fall_reg1,na
Friends,0,1,22,fall_reg1,na
Nefarious,0,1,23,fall_reg1,na
Oxygen Esports,0,1,24,fall_reg1,na
Pittsburgh Knights,0,1,25,fall_reg1,na
Randoms,0,1,26,fall_reg1,na
sup,0,1,27,fall_reg1,na
NRG,551,2,1,fall_reg2,na
FaZe Clan,411,2,2,fall_reg2,na
G2 Esports,400,2,3,fall_reg2,na
Complexity Gaming,350,2,4,fall_reg2,na
OpTic Gaming,350,2,5,fall_reg2,na
Spacestation Gaming,350,2,6,fall_reg2,na
Version1,350,2,7,fall_reg2,na
XSET,300,2,8,fall_reg2,na
Ghost Gaming,260,2,9,fall_reg2,na
Torrent,220,2,10,fall_reg2,na
Soniqs,180,2,11,fall_reg2,na
Rogue,140,2,12,fall_reg2,na
Akrew,110,2,13,fall_reg2,na
Shopify Rebellion,70,2,14,fall_reg2,na
Stromboli,70,2,15,fall_reg2,na
sup,70,2,16,fall_reg2,na
eUnited,40,2,17,fall_reg2,na
Gentlemen,40,2,18,fall_reg2,na
Limitless,40,2,19,fall_reg2,na
Nefarious,40,2,20,fall_reg2,na
AllMid,0,2,21,fall_reg2,na
AXLE0R8,0,2,22,fall_reg2,na
Ducks on Quack,0,2,23,fall_reg2,na
Friends,0,2,24,fall_reg2,na
Oxygen Esports,0,2,25,fall_reg2,na
Pittsburgh Knights,0,2,26,fall_reg2,na
Randoms,0,2,27,fall_reg2,na
NRG,751,3,1,fall_reg3,na
G2 Esports,701,3,2,fall_reg3,na
FaZe Clan,611,3,3,fall_reg3,na
OpTic Gaming,600,3,4,fall_reg3,na
Complexity Gaming,500,3,5,fall_reg3,na
Spacestation Gaming,500,3,6,fall_reg3,na
Ghost Gaming,410,3,7,fall_reg3,na
Version1,390,3,8,fall_reg3,na
XSET,370,3,9,fall_reg3,na
Torrent,220,3,10,fall_reg3,na
Rogue,210,3,11,fall_reg3,na
Soniqs,180,3,12,fall_reg3,na
Stromboli,180,3,13,fall_reg3,na
Akrew,150,3,14,fall_reg3,na
eUnited,150,3,15,fall_reg3,na
Oxygen Esports,150,3,16,fall_reg3,na
Ducks on Quack,110,3,17,fall_reg3,na
AXLE0R8,70,3,18,fall_reg3,na
Shopify Rebellion,70,3,19,fall_reg3,na
sup,70,3,20,fall_reg3,na
Gentlemen,40,3,21,fall_reg3,na
Limitless,40,3,22,fall_reg3,na
Nefarious,40,3,23,fall_reg3,na
AllMid,0,3,24,fall_reg3,na
Friends,0,3,25,fall_reg3,na
Pittsburgh Knights,0,3,26,fall_reg3,na
Randoms,0,3,27,fall_reg3,na
NRG,1251,4,1,fall_maj,na
FaZe Clan,1011,4,2,fall_maj,na
G2 Esports,921,4,3,fall_maj,na
Complexity Gaming,800,4,4,fall_maj,na
OpTic Gaming,740,4,5,fall_maj,na
Spacestation Gaming,500,4,6,fall_maj,na
Ghost Gaming,410,4,7,fall_maj,na
Version1,390,4,8,fall_maj,na
XSET,370,4,9,fall_maj,na
Torrent,220,4,10,fall_maj,na
Rogue,210,4,11,fall_maj,na
Soniqs,180,4,12,fall_maj,na
Stromboli,180,4,13,fall_maj,na
Akrew,150,4,14,fall_maj,na
eUnited,150,4,15,fall_maj,na
Oxygen Esports,150,4,16,fall_maj,na
Ducks on Quack,110,4,17,fall_maj,na
AXLE0R8,70,4,18,fall_maj,na
Shopify Rebellion,70,4,19,fall_maj,na
sup,70,4,20,fall_maj,na
Gentlemen,40,4,21,fall_maj,na
Limitless,40,4,22,fall_maj,na
Nefarious,40,4,23,fall_maj,na
AllMid,0,4,24,fall_maj,na
Friends,0,4,25,fall_maj,na
Pittsburgh Knights,0,4,26,fall_maj,na
Randoms,0,4,27,fall_maj,na
NRG,1602,5,1,win_reg1,na
FaZe Clan,1271,5,2,win_reg1,na
G2 Esports,1111,5,3,win_reg1,na
Complexity Gaming,960,5,4,win_reg1,na
OpTic Gaming,800,5,5,win_reg1,na
Spacestation Gaming,800,5,6,win_reg1,na
Version1,610,5,7,win_reg1,na
Ghost Gaming,470,5,8,win_reg1,na
XSET,430,5,9,win_reg1,na
Oxygen Esports,340,5,10,win_reg1,na
Rogue,320,5,11,win_reg1,na
Soniqs,290,5,12,win_reg1,na
Torrent,280,5,13,win_reg1,na
Akrew,260,5,14,win_reg1,na
Shopify Rebellion,230,5,15,win_reg1,na
Stromboli,180,5,16,win_reg1,na
sup,180,5,17,win_reg1,na
eUnited,150,5,18,win_reg1,na
Ducks on Quack,110,5,19,win_reg1,na
AXLE0R8,70,5,20,win_reg1,na
Gentlemen,40,5,21,win_reg1,na
Limitless,40,5,22,win_reg1,na
Nefarious,40,5,23,win_reg1,na
AllMid,0,5,24,win_reg1,na
Friends,0,5,25,win_reg1,na
Pittsburgh Knights,0,5,26,win_reg1,na
Randoms,0,5,27,win_reg1,na
NRG,1902,6,1,win_reg2,na
FaZe Clan,1531,6,2,win_reg2,na
G2 Esports,1462,6,3,win_reg2,na
Complexity Gaming,1020,6,4,win_reg2,na
Spacestation Gaming,1020,6,5,win_reg2,na
OpTic Gaming,960,6,6,win_reg2,na
Version1,720,6,7,win_reg2,na
XSET,590,6,8,win_reg2,na
Ghost Gaming,530,6,9,win_reg2,na
Oxygen Esports,530,6,10,win_reg2,na
Rogue,510,6,11,win_reg2,na
Soniqs,350,6,12,win_reg2,na
Shopify Rebellion,340,6,13,win_reg2,na
Stromboli,290,6,14,win_reg2,na
Torrent,280,6,15,win_reg2,na
Akrew,260,6,16,win_reg2,na
sup,180,6,17,win_reg2,na
eUnited,150,6,18,win_reg2,na
Limitless,150,6,19,win_reg2,na
Ducks on Quack,110,6,20,win_reg2,na
Gentlemen,100,6,21,win_reg2,na
AXLE0R8,70,6,22,win_reg2,na
Nefarious,40,6,23,win_reg2,na
AllMid,0,6,24,win_reg2,na
Friends,0,6,25,win_reg2,na
Pittsburgh Knights,0,6,26,win_reg2,na
Randoms,0,6,27,win_reg2,na
NRG,2202,7,1,win_reg3,na
FaZe Clan,1751,7,2,win_reg3,na
G2 Esports,1722,7,3,win_reg3,na
Complexity Gaming,1210,7,4,win_reg3,na
Spacestation Gaming,1130,7,5,win_reg3,na
Version1,1071,7,6,win_reg3,na
OpTic Gaming,1070,7,7,win_reg3,na
Oxygen Esports,720,7,8,win_reg3,na
XSET,650,7,9,win_reg3,na
Rogue,620,7,10,win_reg3,na
Ghost Gaming,530,7,11,win_reg3,na
Soniqs,460,7,12,win_reg3,na
Torrent,440,7,13,win_reg3,na
Shopify Rebellion,400,7,14,win_reg3,na
Stromboli,350,7,15,win_reg3,na
Akrew,260,7,16,win_reg3,na
sup,180,7,17,win_reg3,na
Randoms,160,7,18,win_reg3,na
eUnited,150,7,19,win_reg3,na
Limitless,150,7,20,win_reg3,na
Ducks on Quack,110,7,21,win_reg3,na
Gentlemen,100,7,22,win_reg3,na
AXLE0R8,70,7,23,win_reg3,na
AllMid,60,7,24,win_reg3,na
Nefarious,40,7,25,win_reg3,na
Friends,0,7,26,win_reg3,na
Pittsburgh Knights,0,7,27,win_reg3,na
G2 Esports,2423,8,1,win_maj,na
NRG,2422,8,2,win_maj,na
FaZe Clan,2191,8,3,win_maj,na
Spacestation Gaming,1650,8,4,win_maj,na
Version1,1451,8,5,win_maj,na
Complexity Gaming,1210,8,6,win_maj,na
OpTic Gaming,1070,8,7,win_maj,na
Oxygen Esports,720,8,8,win_maj,na
XSET,650,8,9,win_maj,na
Rogue,620,8,10,win_maj,na
Ghost Gaming,530,8,11,win_maj,na
Soniqs,460,8,12,win_maj,na
Torrent,440,8,13,win_maj,na
Shopify Rebellion,400,8,14,win_maj,na
Stromboli,350,8,15,win_maj,na
Akrew,260,8,16,win_maj,na
sup,180,8,17,win_maj,na
Randoms,160,8,18,win_maj,na
eUnited,150,8,19,win_maj,na
Limitless,150,8,20,win_maj,na
Ducks on Quack,110,8,21,win_maj,na
Gentlemen,100,8,22,win_maj,na
AXLE0R8,70,8,23,win_maj,na
AllMid,60,8,24,win_maj,na
Nefarious,40,8,25,win_maj,na
Friends,0,8,26,win_maj,na
Pittsburgh Knights,0,8,27,win_maj,na
G2 Esports,2824,9,1,spr_reg1,na
NRG,2552,9,2,spr_reg1,na
FaZe Clan,2491,9,3,spr_reg1,na
Spacestation Gaming,2000,9,4,spr_reg1,na
Version1,1661,9,5,spr_reg1,na
Complexity Gaming,1340,9,6,spr_reg1,na
OpTic Gaming,1280,9,7,spr_reg1,na
Oxygen Esports,850,9,8,spr_reg1,na
Rogue,800,9,9,spr_reg1,na
Ghost Gaming,780,9,10,spr_reg1,na
XSET,650,9,11,spr_reg1,na
Soniqs,540,9,12,spr_reg1,na
Akrew,440,9,13,spr_reg1,na
Torrent,440,9,14,spr_reg1,na
Stromboli,430,9,15,spr_reg1,na
Shopify Rebellion,400,9,16,spr_reg1,na
AXLE0R8,200,9,17,spr_reg1,na
Randoms,160,9,18,spr_reg1,na
eUnited,150,9,19,spr_reg1,na
Limitless,150,9,20,spr_reg1,na
AllMid,140,9,21,spr_reg1,na
Ducks on Quack,110,9,22,spr_reg1,na
Gentlemen,100,9,23,spr_reg1,na
Friends,80,9,24,spr_reg1,na
Nefarious,40,9,25,spr_reg1,na
Pittsburgh Knights,0,9,26,spr_reg1,na
sup,0,9,27,spr_reg1,na
G2 Esports,3225,10,1,spr_reg2,na
NRG,2802,10,2,spr_reg2,na
FaZe Clan,2671,10,3,spr_reg2,na
Spacestation Gaming,2130,10,4,spr_reg2,na
Version1,2011,10,5,spr_reg2,na
OpTic Gaming,1580,10,6,spr_reg2,na
Complexity Gaming,1550,10,7,spr_reg2,na
Oxygen Esports,930,10,8,spr_reg2,na
Rogue,930,10,9,spr_reg2,na
Ghost Gaming,860,10,10,spr_reg2,na
XSET,780,10,11,spr_reg2,na
Soniqs,720,10,12,spr_reg2,na
Torrent,650,10,13,spr_reg2,na
Akrew,440,10,14,spr_reg2,na
Stromboli,430,10,15,spr_reg2,na
Shopify Rebellion,400,10,16,spr_reg2,na
AXLE0R8,280,10,17,spr_reg2,na
AllMid,220,10,18,spr_reg2,na
Randoms,160,10,19,spr_reg2,na
eUnited,150,10,20,spr_reg2,na
Limitless,150,10,21,spr_reg2,na
Pittsburgh Knights,130,10,22,spr_reg2,na
Ducks on Quack,110,10,23,spr_reg2,na
Gentlemen,100,10,24,spr_reg2,na
Friends,80,10,25,spr_reg2,na
Nefarious,40,10,26,spr_reg2,na
sup,0,10,27,spr_reg2,na
G2 Esports,3575,11,1,spr_reg3,na
FaZe Clan,3072,11,2,spr_reg3,na
NRG,2932,11,3,spr_reg3,na
Spacestation Gaming,2380,11,4,spr_reg3,na
Version1,2311,11,5,spr_reg3,na
OpTic Gaming,1790,11,6,spr_reg3,na
Complexity Gaming,1760,11,7,spr_reg3,na
Oxygen Esports,1110,11,8,spr_reg3,na
Rogue,1060,11,9,spr_reg3,na
Ghost Gaming,940,11,10,spr_reg3,na
Soniqs,850,11,11,spr_reg3,na
XSET,780,11,12,spr_reg3,na
Torrent,650,11,13,spr_reg3,na
Akrew,620,11,14,spr_reg3,na
Stromboli,510,11,15,spr_reg3,na
Shopify Rebellion,480,11,16,spr_reg3,na
Randoms,290,11,17,spr_reg3,na
AXLE0R8,280,11,18,spr_reg3,na
AllMid,220,11,19,spr_reg3,na
Pittsburgh Knights,210,11,20,spr_reg3,na
eUnited,150,11,21,spr_reg3,na
Limitless,150,11,22,spr_reg3,na
Ducks on Quack,110,11,23,spr_reg3,na
Gentlemen,100,11,24,spr_reg3,na
Friends,80,11,25,spr_reg3,na
Nefarious,40,11,26,spr_reg3,na
sup,0,11,27,spr_reg3,na
G2 Esports,3835,12,1,spr_maj,na
FaZe Clan,3332,12,2,spr_maj,na
NRG,2932,12,3,spr_maj,na
Version1,2911,12,4,spr_maj,na
Spacestation Gaming,2800,12,5,spr_maj,na
OpTic Gaming,2150,12,6,spr_maj,na
Complexity Gaming,1760,12,7,spr_maj,na
Oxygen Esports,1110,12,8,spr_maj,na
Rogue,1060,12,9,spr_maj,na
Ghost Gaming,940,12,10,spr_maj,na
Soniqs,850,12,11,spr_maj,na
XSET,780,12,12,spr_maj,na
Torrent,650,12,13,spr_maj,na
Akrew,620,12,14,spr_maj,na
Stromboli,510,12,15,spr_maj,na
Shopify Rebellion,480,12,16,spr_maj,na
Randoms,290,12,17,spr_maj,na
AXLE0R8,280,12,18,spr_maj,na
AllMid,220,12,19,spr_maj,na
Pittsburgh Knights,210,12,20,spr_maj,na
eUnited,150,12,21,spr_maj,na
Limitless,150,12,22,spr_maj,na
Ducks on Quack,110,12,23,spr_maj,na
Gentlemen,100,12,24,spr_maj,na
Friends,80,12,25,spr_maj,na
Nefarious,40,12,26,spr_maj,na
sup,0,12,27,spr_maj,na
Endpoint CeX,301,1,1,fall_reg1,eu
Team BDS,250,1,2,fall_reg1,eu
Dignitas,200,1,3,fall_reg1,eu
Karmine Corp,200,1,4,fall_reg1,eu
Evil Geniuses,150,1,5,fall_reg1,eu
Misfits Gaming,150,1,6,fall_reg1,eu
SMPR Esports,150,1,7,fall_reg1,eu
Williams Resolve,150,1,8,fall_reg1,eu
00 Nation DNB,110,1,9,fall_reg1,eu
Heroic,110,1,10,fall_reg1,eu
Moist Esports,110,1,11,fall_reg1,eu
Guild Esports,70,1,12,fall_reg1,eu
Natus Vincere,70,1,13,fall_reg1,eu
Vodafone Giants,70,1,14,fall_reg1,eu
Luminosity Gaming,40,1,15,fall_reg1,eu
Team Vitality,40,1,16,fall_reg1,eu
Aogiri,0,1,17,fall_reg1,eu
BS+COMPETITION,0,1,18,fall_reg1,eu
FC Barcelona,0,1,19,fall_reg1,eu
GROS NOOBZ,0,1,20,fall_reg1,eu
Juicers,0,1,21,fall_reg1,eu
Rix.GG,0,1,22,fall_reg1,eu
SK Gaming,0,1,23,fall_reg1,eu
Solary,0,1,24,fall_reg1,eu
