"team","eventname","score_change","score","event","ranking","region"
"Moist Esports","fall_reg1",110,110,1,11,"eu"
"Moist Esports","fall_reg2",70,180,2,13,"eu"
"Moist Esports","fall_reg3",150,330,3,10,"eu"
"Moist Esports","fall_maj",0,330,4,10,"eu"
"Moist Esports","win_reg1",351,681,5,6,"eu"
"Moist Esports","win_reg2",300,981,6,5,"eu"
"Moist Esports","win_reg3",351,1332,7,4,"eu"
"Moist Esports","win_maj",600,1932,8,3,"eu"
"Moist Esports","spr_reg1",350,2282,9,2,"eu"
"Moist Esports","spr_reg2",250,2532,10,2,"eu"
"Moist Esports","spr_reg3",401,2933,11,2,"eu"
"Moist Esports","spr_maj",801,3734,12,1,"eu"
"Team BDS","fall_reg1",250,250,1,2,"eu"
"Team BDS","fall_reg2",200,450,2,2,"eu"
"Team BDS","fall_reg3",200,650,3,3,"eu"
"Team BDS","fall_maj",601,1251,4,1,"eu"
"Team BDS","win_reg1",260,1511,5,1,"eu"
"Team BDS","win_reg2",351,1862,6,1,"eu"
"Team BDS","win_reg3",110,1972,7,1,"eu"
"Team BDS","win_maj",320,2292,8,1,"eu"
"Team BDS","spr_reg1",401,2693,9,1,"eu"
"Team BDS","spr_reg2",401,3094,10,1,"eu"
"Team BDS","spr_reg3",350,3444,11,1,"eu"
"Team BDS","spr_maj",160,3604,12,2,"eu"
"Endpoint CeX","fall_reg1",301,301,1,1,"eu"
"Endpoint CeX","fall_reg2",110,411,2,3,"eu"
"Endpoint CeX","fall_reg3",301,712,3,1,"eu"
"Endpoint CeX","fall_maj",300,1012,4,2,"eu"
"Endpoint CeX","win_reg1",220,1232,5,3,"eu"
"Endpoint CeX","win_reg2",110,1342,6,3,"eu"
"Endpoint CeX","win_reg3",300,1642,7,3,"eu"
"Endpoint CeX","win_maj",220,1862,8,4,"eu"
"Endpoint CeX","spr_reg1",130,1992,9,4,"eu"
"Endpoint CeX","spr_reg2",210,2202,10,4,"eu"
"Endpoint CeX","spr_reg3",300,2502,11,3,"eu"
"Endpoint CeX","spr_maj",160,2662,12,3,"eu"
"Dignitas","fall_reg1",200,200,1,3,"eu"
"Dignitas","fall_reg2",301,501,2,1,"eu"
"Dignitas","fall_reg3",200,701,3,2,"eu"
"Dignitas","fall_maj",300,1001,4,3,"eu"
"Dignitas","win_reg1",300,1301,5,2,"eu"
"Dignitas","win_reg2",190,1491,6,2,"eu"
"Dignitas","win_reg3",260,1751,7,2,"eu"
"Dignitas","win_maj",220,1971,8,2,"eu"
"Dignitas","spr_reg1",130,2101,9,3,"eu"
"Dignitas","spr_reg2",130,2231,10,3,"eu"
"Dignitas","spr_reg3",210,2441,11,4,"eu"
"Dignitas","spr_maj",0,2441,12,4,"eu"
"Karmine Corp","fall_reg1",200,200,1,4,"eu"
"Karmine Corp","fall_reg2",40,240,2,10,"eu"
"Karmine Corp","fall_reg3",150,390,3,7,"eu"
"Karmine Corp","fall_maj",0,390,4,7,"eu"
"Karmine Corp","win_reg1",160,550,5,7,"eu"
"Karmine Corp","win_reg2",110,660,6,9,"eu"
"Karmine Corp","win_reg3",160,820,7,8,"eu"
"Karmine Corp","win_maj",0,820,8,8,"eu"
"Karmine Corp","spr_reg1",210,1030,9,8,"eu"
"Karmine Corp","spr_reg2",300,1330,10,7,"eu"
"Karmine Corp","spr_reg3",180,1510,11,7,"eu"
"Karmine Corp","spr_maj",500,2010,12,5,"eu"
"SMPR Esports","fall_reg1",150,150,1,7,"eu"
"SMPR Esports","fall_reg2",150,300,2,5,"eu"
"SMPR Esports","fall_reg3",250,550,3,4,"eu"
"SMPR Esports","fall_maj",400,950,4,4,"eu"
"SMPR Esports","win_reg1",110,1060,5,4,"eu"
"SMPR Esports","win_reg2",110,1170,6,4,"eu"
"SMPR Esports","win_reg3",110,1280,7,5,"eu"
"SMPR Esports","win_maj",0,1280,8,6,"eu"
"SMPR Esports","spr_reg1",180,1460,9,5,"eu"
"SMPR Esports","spr_reg2",180,1640,10,5,"eu"
"SMPR Esports","spr_reg3",130,1770,11,5,"eu"
"SMPR Esports","spr_maj",0,1770,12,6,"eu"
"Evil Geniuses","fall_reg1",150,150,1,5,"eu"
"Evil Geniuses","fall_reg2",110,260,2,8,"eu"
"Evil Geniuses","fall_reg3",150,410,3,6,"eu"
"Evil Geniuses","fall_maj",0,410,4,6,"eu"
"Evil Geniuses","win_reg1",110,520,5,8,"eu"
"Evil Geniuses","win_reg2",260,780,6,7,"eu"
"Evil Geniuses","win_reg3",220,1000,7,6,"eu"
"Evil Geniuses","win_maj",320,1320,8,5,"eu"
"Evil Geniuses","spr_reg1",80,1400,9,6,"eu"
"Evil Geniuses","spr_reg2",130,1530,10,6,"eu"
"Evil Geniuses","spr_reg3",210,1740,11,6,"eu"
"Evil Geniuses","spr_maj",0,1740,12,7,"eu"
"Team Vitality","fall_reg1",40,40,1,16,"eu"
"Team Vitality","fall_reg2",250,290,2,6,"eu"
"Team Vitality","fall_reg3",150,440,3,5,"eu"
"Team Vitality","fall_maj",140,580,4,5,"eu"
"Team Vitality","win_reg1",190,770,5,5,"eu"
"Team Vitality","win_reg2",60,830,6,6,"eu"
"Team Vitality","win_reg3",60,890,7,7,"eu"
"Team Vitality","win_maj",0,890,8,7,"eu"
"Team Vitality","spr_reg1",250,1140,9,7,"eu"
"Team Vitality","spr_reg2",130,1270,10,8,"eu"
"Team Vitality","spr_reg3",130,1400,11,8,"eu"
"Team Vitality","spr_maj",0,1400,12,8,"eu"
"Luminosity Gaming","fall_reg1",40,40,1,15,"eu"
"Luminosity Gaming","fall_reg2",150,190,2,12,"eu"
"Luminosity Gaming","fall_reg3",70,260,3,13,"eu"
"Luminosity Gaming","fall_maj",0,260,4,13,"eu"
"Luminosity Gaming","win_reg1",110,370,5,12,"eu"
"Luminosity Gaming","win_reg2",160,530,6,12,"eu"
"Luminosity Gaming","win_reg3",190,720,7,11,"eu"
"Luminosity Gaming","win_maj",0,720,8,11,"eu"
"Luminosity Gaming","spr_reg1",130,850,9,10,"eu"
"Luminosity Gaming","spr_reg2",180,1030,10,10,"eu"
"Luminosity Gaming","spr_reg3",180,1210,11,9,"eu"
"Luminosity Gaming","spr_maj",0,1210,12,9,"eu"
"Misfits Gaming","fall_reg1",150,150,1,6,"eu"
"Misfits Gaming","fall_reg2",200,350,2,4,"eu"
"Misfits Gaming","fall_reg3",40,390,3,8,"eu"
"Misfits Gaming","fall_maj",0,390,4,8,"eu"
"Misfits Gaming","win_reg1",110,500,5,10,"eu"
"Misfits Gaming","win_reg2",220,720,6,8,"eu"
"Misfits Gaming","win_reg3",60,780,7,9,"eu"
"Misfits Gaming","win_maj",0,780,8,9,"eu"
"Misfits Gaming","spr_reg1",210,990,9,9,"eu"
"Misfits Gaming","spr_reg2",80,1070,10,9,"eu"
"Misfits Gaming","spr_reg3",80,1150,11,10,"eu"
"Misfits Gaming","spr_maj",0,1150,12,10,"eu"
"Team Liquid","fall_reg1",0,0,1,26,"eu"
"Team Liquid","fall_reg2",0,0,2,26,"eu"
"Team Liquid","fall_reg3",0,0,3,27,"eu"
"Team Liquid","fall_maj",0,0,4,27,"eu"
"Team Liquid","win_reg1",0,0,5,27,"eu"
"Team Liquid","win_reg2",0,0,6,27,"eu"
"Team Liquid","win_reg3",0,0,7,27,"eu"
"Team Liquid","win_maj",0,0,8,27,"eu"
"Team Liquid","spr_reg1",180,180,9,18,"eu"
"Team Liquid","spr_reg2",350,530,10,14,"eu"
"Team Liquid","spr_reg3",250,780,11,12,"eu"
"Team Liquid","spr_maj",360,1140,12,11,"eu"
"00 Nation DNB","fall_reg1",110,110,1,9,"eu"
"00 Nation DNB","fall_reg2",150,260,2,7,"eu"
"00 Nation DNB","fall_reg3",70,330,3,9,"eu"
"00 Nation DNB","fall_maj",0,330,4,9,"eu"
"00 Nation DNB","win_reg1",60,390,5,11,"eu"
"00 Nation DNB","win_reg2",160,550,6,11,"eu"
"00 Nation DNB","win_reg3",190,740,7,10,"eu"
"00 Nation DNB","win_maj",0,740,8,10,"eu"
"00 Nation DNB","spr_reg1",0,740,9,11,"eu"
"00 Nation DNB","spr_reg2",80,820,10,11,"eu"
"00 Nation DNB","spr_reg3",0,820,11,11,"eu"
"00 Nation DNB","spr_maj",0,820,12,12,"eu"
"Guild Esports","fall_reg1",70,70,1,12,"eu"
"Guild Esports","fall_reg2",0,70,2,17,"eu"
"Guild Esports","fall_reg3",0,70,3,18,"eu"
"Guild Esports","fall_maj",0,70,4,18,"eu"
"Guild Esports","win_reg1",0,70,5,17,"eu"
"Guild Esports","win_reg2",190,260,6,15,"eu"
"Guild Esports","win_reg3",160,420,7,13,"eu"
"Guild Esports","win_maj",0,420,8,13,"eu"
"Guild Esports","spr_reg1",0,420,9,13,"eu"
"Guild Esports","spr_reg2",210,630,10,13,"eu"
"Guild Esports","spr_reg3",130,760,11,13,"eu"
"Guild Esports","spr_maj",0,760,12,13,"eu"
"Williams Resolve","fall_reg1",150,150,1,8,"eu"
"Williams Resolve","fall_reg2",70,220,2,11,"eu"
"Williams Resolve","fall_reg3",110,330,3,11,"eu"
"Williams Resolve","fall_maj",0,330,4,11,"eu"
"Williams Resolve","win_reg1",190,520,5,9,"eu"
"Williams Resolve","win_reg2",60,580,6,10,"eu"
"Williams Resolve","win_reg3",110,690,7,12,"eu"
"Williams Resolve","win_maj",0,690,8,12,"eu"
"Williams Resolve","spr_reg1",0,690,9,12,"eu"
"Williams Resolve","spr_reg2",0,690,10,12,"eu"
"Williams Resolve","spr_reg3",0,690,11,14,"eu"
"Williams Resolve","spr_maj",0,690,12,14,"eu"
"Solary","fall_reg1",0,0,1,24,"eu"
"Solary","fall_reg2",0,0,2,24,"eu"
"Solary","fall_reg3",0,0,3,25,"eu"
"Solary","fall_maj",0,0,4,25,"eu"
"Solary","win_reg1",0,0,5,25,"eu"
"Solary","win_reg2",0,0,6,26,"eu"
"Solary","win_reg3",0,0,7,26,"eu"
"Solary","win_maj",0,0,8,26,"eu"
"Solary","spr_reg1",300,300,9,17,"eu"
"Solary","spr_reg2",130,430,10,15,"eu"
"Solary","spr_reg3",130,560,11,15,"eu"
"Solary","spr_maj",0,560,12,15,"eu"
"Natus Vincere","fall_reg1",70,70,1,13,"eu"
"Natus Vincere","fall_reg2",40,110,2,16,"eu"
"Natus Vincere","fall_reg3",0,110,3,16,"eu"
"Natus Vincere","fall_maj",0,110,4,16,"eu"
"Natus Vincere","win_reg1",60,170,5,14,"eu"
"Natus Vincere","win_reg2",110,280,6,14,"eu"
"Natus Vincere","win_reg3",60,340,7,14,"eu"
"Natus Vincere","win_maj",0,340,8,14,"eu"
"Natus Vincere","spr_reg1",0,340,9,14,"eu"
"Natus Vincere","spr_reg2",80,420,10,16,"eu"
"Natus Vincere","spr_reg3",0,420,11,16,"eu"
"Natus Vincere","spr_maj",0,420,12,16,"eu"
"Aogiri","fall_reg1",0,0,1,17,"eu"
"Aogiri","fall_reg2",0,0,2,18,"eu"
"Aogiri","fall_reg3",0,0,3,19,"eu"
"Aogiri","fall_maj",0,0,4,19,"eu"
"Aogiri","win_reg1",0,0,5,19,"eu"
"Aogiri","win_reg2",0,0,6,20,"eu"
"Aogiri","win_reg3",0,0,7,20,"eu"
"Aogiri","win_maj",0,0,8,20,"eu"
"Aogiri","spr_reg1",0,0,9,24,"eu"
"Aogiri","spr_reg2",80,80,10,21,"eu"
"Aogiri","spr_reg3",80,160,11,17,"eu"
"Aogiri","spr_maj",0,160,12,17,"eu"
"Wolves Esports","fall_reg1",0,0,1,29,"eu"
"Wolves Esports","fall_reg2",0,0,2,29,"eu"
"Wolves Esports","fall_reg3",0,0,3,29,"eu"
"Wolves Esports","fall_maj",0,0,4,29,"eu"
"Wolves Esports","win_reg1",0,0,5,29,"eu"
"Wolves Esports","win_reg2",0,0,6,29,"eu"
"Wolves Esports","win_reg3",0,0,7,29,"eu"
"Wolves Esports","win_maj",0,0,8,29,"eu"
"Wolves Esports","spr_reg1",130,130,9,20,"eu"
"Wolves Esports","spr_reg2",0,130,10,20,"eu"
"Wolves Esports","spr_reg3",0,130,11,18,"eu"
"Wolves Esports","spr_maj",0,130,12,18,"eu"
"BS+COMPETITION","fall_reg1",0,0,1,18,"eu"
"BS+COMPETITION","fall_reg2",0,0,2,19,"eu"
"BS+COMPETITION","fall_reg3",0,0,3,20,"eu"
"BS+COMPETITION","fall_maj",0,0,4,20,"eu"
"BS+COMPETITION","win_reg1",0,0,5,20,"eu"
"BS+COMPETITION","win_reg2",0,0,6,21,"eu"
"BS+COMPETITION","win_reg3",0,0,7,21,"eu"
"BS+COMPETITION","win_maj",0,0,8,21,"eu"
"BS+COMPETITION","spr_reg1",80,80,9,21,"eu"
"BS+COMPETITION","spr_reg2",0,80,10,22,"eu"
"BS+COMPETITION","spr_reg3",0,80,11,19,"eu"
"BS+COMPETITION","spr_maj",0,80,12,19,"eu"
"GROS NOOBZ","fall_reg1",0,0,1,20,"eu"
"GROS NOOBZ","fall_reg2",0,0,2,20,"eu"
"GROS NOOBZ","fall_reg3",0,0,3,21,"eu"
"GROS NOOBZ","fall_maj",0,0,4,21,"eu"
"GROS NOOBZ","win_reg1",0,0,5,22,"eu"
"GROS NOOBZ","win_reg2",0,0,6,23,"eu"
"GROS NOOBZ","win_reg3",0,0,7,23,"eu"
"GROS NOOBZ","win_maj",0,0,8,23,"eu"
"GROS NOOBZ","spr_reg1",0,0,9,26,"eu"
"GROS NOOBZ","spr_reg2",0,0,10,26,"eu"
"GROS NOOBZ","spr_reg3",80,80,11,20,"eu"
"GROS NOOBZ","spr_maj",0,80,12,20,"eu"
"Juicers","fall_reg1",0,0,1,21,"eu"
"Juicers","fall_reg2",0,0,2,21,"eu"
"Juicers","fall_reg3",0,0,3,22,"eu"
"Juicers","fall_maj",0,0,4,22,"eu"
"Juicers","win_reg1",0,0,5,23,"eu"
"Juicers","win_reg2",0,0,6,24,"eu"
"Juicers","win_reg3",0,0,7,24,"eu"
"Juicers","win_maj",0,0,8,24,"eu"
"Juicers","spr_reg1",0,0,9,27,"eu"
"Juicers","spr_reg2",0,0,10,27,"eu"
"Juicers","spr_reg3",80,80,11,21,"eu"
"Juicers","spr_maj",0,80,12,21,"eu"
"SK Gaming","fall_reg1",0,0,1,23,"eu"
"SK Gaming","fall_reg2",0,0,2,23,"eu"
"SK Gaming","fall_reg3",0,0,3,24,"eu"
"SK Gaming","fall_maj",0,0,4,24,"eu"
"SK Gaming","win_reg1",0,0,5,24,"eu"
"SK Gaming","win_reg2",0,0,6,25,"eu"
"SK Gaming","win_reg3",0,0,7,25,"eu"
"SK Gaming","win_maj",0,0,8,25,"eu"
"SK Gaming","spr_reg1",80,80,9,22,"eu"
"SK Gaming","spr_reg2",0,80,10,23,"eu"
"SK Gaming","spr_reg3",0,80,11,22,"eu"
"SK Gaming","spr_maj",0,80,12,22,"eu"
"WYLDE","fall_reg1",0,0,1,30,"eu"
"WYLDE","fall_reg2",0,0,2,30,"eu"
"WYLDE","fall_reg3",0,0,3,30,"eu"
"WYLDE","fall_maj",0,0,4,30,"eu"
"WYLDE","win_reg1",0,0,5,30,"eu"
"WYLDE","win_reg2",0,0,6,30,"eu"
"WYLDE","win_reg3",0,0,7,30,"eu"
"WYLDE","win_maj",0,0,8,30,"eu"
"WYLDE","spr_reg1",80,80,9,23,"eu"
"WYLDE","spr_reg2",0,80,10,24,"eu"
"WYLDE","spr_reg3",0,80,11,23,"eu"
"WYLDE","spr_maj",0,80,12,23,"eu"
"FC Barcelona","fall_reg1",0,0,1,19,"eu"
"FC Barcelona","fall_reg2",110,110,2,15,"eu"
"FC Barcelona","fall_reg3",110,220,3,14,"eu"
"FC Barcelona","fall_maj",0,220,4,14,"eu"
"FC Barcelona","win_reg1",-220,0,5,21,"eu"
"FC Barcelona","win_reg2",0,0,6,22,"eu"
"FC Barcelona","win_reg3",0,0,7,22,"eu"
"FC Barcelona","win_maj",0,0,8,22,"eu"
"FC Barcelona","spr_reg1",0,0,9,25,"eu"
"FC Barcelona","spr_reg2",0,0,10,25,"eu"
"FC Barcelona","spr_reg3",0,0,11,24,"eu"
"FC Barcelona","spr_maj",0,0,12,24,"eu"
"Vodafone Giants","fall_reg1",70,70,1,14,"eu"
"Vodafone Giants","fall_reg2",70,140,2,14,"eu"
"Vodafone Giants","fall_reg3",70,210,3,15,"eu"
"Vodafone Giants","fall_maj",0,210,4,15,"eu"
"Vodafone Giants","win_reg1",-210,0,5,28,"eu"
"Vodafone Giants","win_reg2",0,0,6,28,"eu"
"Vodafone Giants","win_reg3",0,0,7,28,"eu"
"Vodafone Giants","win_maj",0,0,8,28,"eu"
"Vodafone Giants","spr_reg1",0,0,9,30,"eu"
"Vodafone Giants","spr_reg2",0,0,10,30,"eu"
"Vodafone Giants","spr_reg3",0,0,11,30,"eu"
"Vodafone Giants","spr_maj",0,0,12,30,"eu"
"Heroic","fall_reg1",110,110,1,10,"eu"
"Heroic","fall_reg2",150,260,2,9,"eu"
"Heroic","fall_reg3",40,300,3,12,"eu"
"Heroic","fall_maj",0,300,4,12,"eu"
"Heroic","win_reg1",0,300,5,13,"eu"
"Heroic","win_reg2",0,300,6,13,"eu"
"Heroic","win_reg3",0,300,7,16,"eu"
"Heroic","win_maj",0,300,8,16,"eu"
"Heroic","spr_reg1",0,300,9,16,"eu"
"Heroic","spr_reg2",0,300,10,18,"eu"
"Heroic","spr_reg3",-300,0,11,25,"eu"
"Heroic","spr_maj",0,0,12,25,"eu"
"Rix.GG","fall_reg1",0,0,1,22,"eu"
"Rix.GG","fall_reg2",0,0,2,22,"eu"
"Rix.GG","fall_reg3",0,0,3,23,"eu"
"Rix.GG","fall_maj",0,0,4,23,"eu"
"Rix.GG","win_reg1",60,60,5,18,"eu"
"Rix.GG","win_reg2",0,60,6,18,"eu"
"Rix.GG","win_reg3",60,120,7,18,"eu"
"Rix.GG","win_maj",0,120,8,18,"eu"
"Rix.GG","spr_reg1",-120,0,9,28,"eu"
"Rix.GG","spr_reg2",0,0,10,28,"eu"
"Rix.GG","spr_reg3",0,0,11,26,"eu"
"Rix.GG","spr_maj",0,0,12,26,"eu"
"Stormtroopers","fall_reg1",0,0,1,25,"eu"
"Stormtroopers","fall_reg2",0,0,2,25,"eu"
"Stormtroopers","fall_reg3",0,0,3,26,"eu"
"Stormtroopers","fall_maj",0,0,4,26,"eu"
"Stormtroopers","win_reg1",0,0,5,26,"eu"
"Stormtroopers","win_reg2",60,60,6,19,"eu"
"Stormtroopers","win_reg3",0,60,7,19,"eu"
"Stormtroopers","win_maj",0,60,8,19,"eu"
"Stormtroopers","spr_reg1",-60,0,9,29,"eu"
"Stormtroopers","spr_reg2",0,0,10,29,"eu"
"Stormtroopers","spr_reg3",0,0,11,27,"eu"
"Stormtroopers","spr_maj",0,0,12,27,"eu"
"Team Singularity","fall_reg1",0,0,1,27,"eu"
"Team Singularity","fall_reg2",0,0,2,27,"eu"
"Team Singularity","fall_reg3",0,0,3,28,"eu"
"Team Singularity","fall_maj",0,0,4,28,"eu"
"Team Singularity","win_reg1",160,160,5,16,"eu"
"Team Singularity","win_reg2",0,160,6,17,"eu"
"Team Singularity","win_reg3",0,160,7,17,"eu"
"Team Singularity","win_maj",0,160,8,17,"eu"
"Team Singularity","spr_reg1",0,160,9,19,"eu"
"Team Singularity","spr_reg2",0,160,10,19,"eu"
"Team Singularity","spr_reg3",-160,0,11,28,"eu"
"Team Singularity","spr_maj",0,0,12,28,"eu"
"The Bricks","fall_reg1",0,0,1,28,"eu"
"The Bricks","fall_reg2",0,0,2,28,"eu"
"The Bricks","fall_reg3",110,110,3,17,"eu"
"The Bricks","fall_maj",0,110,4,17,"eu"
"The Bricks","win_reg1",60,170,5,15,"eu"
"The Bricks","win_reg2",60,230,6,16,"eu"
"The Bricks","win_reg3",110,340,7,15,"eu"
"The Bricks","win_maj",0,340,8,15,"eu"
"The Bricks","spr_reg1",0,340,9,15,"eu"
"The Bricks","spr_reg2",0,340,10,17,"eu"
"The Bricks","spr_reg3",-340,0,11,29,"eu"
"The Bricks","spr_maj",0,0,12,29,"eu"
